spec_id,mol_id,group_id
29876,4244,828
32133,18455,3506
23723,18079,2232
16801,5913,1349
9577,1995,783
27860,4036,3118
32885,24697,3561
18327,25674,1453
21894,14572,1849
37553,18347,3925
38508,6673,3993
36357,18278,3834
26816,4186,2899
22084,3937,1884
14223,25178,1175
1663,19090,157
13804,4339,1123
23971,3016,2284
28121,18395,3138
34751,4747,3706
10069,19036,818
37164,18717,3894
11025,18745,888
15769,1435,1283
12175,14701,979
20704,6251,1657
8670,18885,713
7058,7677,586
35442,22409,3773
14864,24193,1213
29171,24576,3253
6226,4136,526
22092,3941,1886
2701,26059,238
4176,26295,373
23292,18246,2139
31234,9135,3424
38792,21980,4013
6414,8065,539
29927,25025,3307
19378,18843,1522
24458,3235,2393
6217,22741,525
28632,3238,3177
26142,19273,2757
25259,19302,2568
8674,18885,713
22005,18230,1867
21383,14516,1753
35308,9256,3763
26066,18088,2739
31114,24675,3414
8027,18876,664
9397,16532,769
14120,25179,1165
2366,2249,211
15974,18788,1293
13327,25751,1058
34792,4828,3709
22569,4019,1981
19280,18830,1517
31291,4285,3428
21704,4182,1816
15084,9971,202
13753,1428,1119
25692,18097,2660
38279,12939,3978
11788,3729,947
5995,18563,507
21660,18768,1806
21917,18226,1852
29696,1204,3292
37777,21071,3942
27849,3901,3117
24686,3159,2442
25108,14475,2537
16329,18962,1316
25422,18128,2602
24892,3181,2488
24160,6171,2328
24829,3166,2473
17172,19897,1375
20758,18889,1667
3650,19151,329
17921,14309,1425
27853,3901,3117
2992,22579,272
11441,5023,919
21831,18822,1842
39632,12226,4073
15564,3219,1268
14296,25709,1086
13743,1428,1119
24123,6165,2320
8195,25180,678
15833,18482,1290
4138,921,370
5790,26588,489
11482,168,923
16977,11304,1361
24432,6228,2387
17789,15394,1416
5574,6929,474
22811,19263,2032
37358,20635,3907
3649,19151,329
31608,21061,3456
2264,9971,202
31818,14989,3475
28040,6149,3132
17527,14151,1399
5176,19146,445
8258,18725,683
2874,9154,101
3784,3897,340
28198,6145,3142
18248,16335,1201
37258,14680,3898
21859,18824,1845
20581,4060,1636
23487,18265,2181
3743,2996,336
17766,26539,1414
22287,18145,1926
29965,7253,3309
23876,19332,2265
5444,9787,464
2472,10405,219
19185,4193,1510
37469,5937,3919
16363,2252,1252
34340,3955,3670
22716,19190,2012
38534,7267,3995
1447,22392,142
30117,10982,3321
22818,18153,2033
26310,18015,2791
16654,16551,1338
28077,6152,3134
20715,3257,1659
34255,10830,3665
5999,18563,507
37522,4092,3923
20933,18228,1700
7230,2984,602
36318,5991,3831
35769,18508,3794
9646,14704,788
17159,22742,1373
23735,19308,2234
13322,25743,1072
27047,2970,2946
31206,13922,3421
8931,6700,733
3658,3891,330
23660,18194,2219
8917,22479,732
22708,14543,2011
18797,14347,1484
2004,16539,181
